,Station_1,Date,Tmax_1,Tmin_1,Tavg_1,Depart_1,DewPoint_1,WetBulb_1,Heat_1,Cool_1,Sunrise_1,Sunset_1,PrecipTotal_1,StnPressure_1,SeaLevel_1,ResultSpeed_1,ResultDir_1,AvgSpeed_1,Tmax_2,Tmin_2,Tavg_2,DewPoint_2,WetBulb_2,Heat_2,Cool_2,PrecipTotal_2,StnPressure_2,SeaLevel_2,ResultSpeed_2,ResultDir_2,AvgSpeed_2,code_VCTS_1,code_BR_1,code_HZ_1,code_BCFG_1,code_VCFG_1,code_RA_1,code_FU_1,code_DZ_1,code_FG+_1,code_FG_1,code_MIFG_1,code_SN_1,code_TSRA_1,code_SQ_1,code_GR_1,code_TS_1,code_VCTS_2,code_BR_2,code_HZ_2,code_BCFG_2,code_VCFG_2,code_RA_2,code_FU_2,code_DZ_2,code_FG+_2,code_FG_2,code_MIFG_2,code_SN_2,code_TSRA_2,code_SQ_2,code_GR_2,code_TS_2,Depart_2,Sunrise_2,Sunset_2
0,1,2007-05-01,83,50,67.0,14.0,51,56.0,0.0,2.0,448.0,1849.0,0.0,29.1,29.82,1.7,27,9.2,84,52,68.0,51,57.0,0.0,3.0,0.0,29.18,29.82,2.7,25,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,448.0,1849.0
1,1,2007-05-02,59,42,51.0,-3.0,42,47.0,14.0,0.0,447.0,1850.0,0.0,29.38,30.09,13.0,4,13.4,60,43,52.0,42,47.0,13.0,0.0,0.0,29.44,30.08,13.3,2,13.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,447.0,1850.0
2,1,2007-05-03,66,46,56.0,2.0,40,48.0,9.0,0.0,446.0,1851.0,0.0,29.39,30.12,11.7,7,11.9,67,48,58.0,40,50.0,7.0,0.0,0.0,29.46,30.12,12.9,6,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,446.0,1851.0
3,1,2007-05-04,66,49,58.0,4.0,41,50.0,7.0,0.0,444.0,1852.0,0.001,29.31,30.05,10.4,8,10.8,78,51,64.0,42,50.0,7.0,0.0,0.0,29.36,30.04,10.1,7,10.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,444.0,1852.0
4,1,2007-05-05,66,53,60.0,5.0,38,49.0,5.0,0.0,443.0,1853.0,0.001,29.4,30.1,11.7,7,12.0,66,54,60.0,39,50.0,5.0,0.0,0.001,29.46,30.09,11.2,7,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,443.0,1853.0
5,1,2007-05-06,68,49,59.0,4.0,30,46.0,6.0,0.0,442.0,1855.0,0.0,29.57,30.29,14.4,11,15.0,68,52,60.0,30,46.0,5.0,0.0,0.0,29.62,30.28,13.8,10,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,442.0,1855.0
6,1,2007-05-07,83,47,65.0,10.0,41,54.0,0.0,0.0,441.0,1856.0,0.001,29.38,30.12,8.6,18,10.5,84,50,67.0,39,53.0,0.0,2.0,0.0,29.44,30.12,8.5,17,9.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,441.0,1856.0
7,1,2007-05-08,82,54,68.0,12.0,58,62.0,0.0,3.0,439.0,1857.0,0.0,29.29,30.03,2.7,11,5.8,80,60,70.0,57,63.0,0.0,5.0,0.001,29.36,30.02,2.5,8,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,439.0,1857.0
8,1,2007-05-09,77,61,69.0,13.0,59,63.0,0.0,4.0,438.0,1858.0,0.13,29.21,29.94,3.9,9,6.2,76,63,70.0,60,63.0,0.0,5.0,0.02,29.28,29.93,3.9,7,5.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,438.0,1858.0
9,1,2007-05-10,84,56,70.0,14.0,52,60.0,0.0,5.0,437.0,1859.0,0.0,29.2,29.92,0.7,17,4.1,83,59,71.0,52,61.0,0.0,6.0,0.0,29.26,29.91,2.0,9,3.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,437.0,1859.0
10,1,2007-05-11,70,51,61.0,4.0,42,51.0,4.0,0.0,436.0,1860.0,0.0,29.33,30.04,11.3,3,12.9,73,49,61.0,44,51.0,4.0,0.0,0.0,29.39,30.03,11.7,36,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,436.0,1860.0
11,1,2007-05-12,64,46,55.0,-2.0,36,46.0,10.0,0.0,435.0,1901.0,0.0,29.49,30.2,12.4,3,12.9,65,47,56.0,37,46.0,9.0,0.0,0.0,29.54,30.19,12.7,1,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,435.0,1901.0
12,1,2007-05-13,69,43,56.0,-2.0,33,46.0,9.0,0.0,434.0,1902.0,0.0,29.49,30.24,6.6,14,8.1,69,44,57.0,32,46.0,8.0,0.0,0.0,29.55,30.24,6.4,11,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,434.0,1902.0
13,1,2007-05-14,90,56,73.0,15.0,47,59.0,0.0,8.0,433.0,1903.0,0.0,29.23,29.97,16.9,21,17.3,90,54,72.0,45,58.0,0.0,7.0,0.0,29.31,29.98,14.1,21,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,433.0,1903.0
14,1,2007-05-15,80,57,69.0,11.0,56,61.0,0.0,4.0,432.0,1904.0,0.38,29.13,29.84,8.1,27,12.3,82,56,69.0,56,61.0,0.0,4.0,0.6,29.19,29.83,8.1,25,10.8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.0,432.0,1904.0
15,1,2007-05-16,66,44,55.0,-4.0,43,48.0,10.0,0.0,431.0,1905.0,0.14,29.33,30.03,7.8,36,12.2,64,45,55.0,42,47.0,10.0,0.0,0.07,29.39,30.03,8.0,36,11.8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-4.0,431.0,1905.0
16,1,2007-05-17,62,43,53.0,-6.0,32,43.0,12.0,0.0,430.0,1906.0,0.0,29.55,30.27,10.5,3,11.3,61,44,53.0,32,43.0,12.0,0.0,0.0,29.62,30.27,11.7,1,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0,430.0,1906.0
17,1,2007-05-18,71,42,57.0,-3.0,30,46.0,8.0,0.0,429.0,1907.0,0.0,29.53,30.25,5.4,25,7.5,70,43,57.0,31,47.0,8.0,0.0,0.0,29.6,30.26,3.4,22,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,429.0,1907.0
18,1,2007-05-19,80,56,68.0,8.0,39,53.0,0.0,3.0,428.0,1908.0,0.0,29.34,30.08,11.1,24,11.4,80,56,68.0,37,53.0,0.0,3.0,0.0,29.41,30.08,11.1,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,428.0,1908.0
